Resource,Scientific cluster or domain,Software quality dimensions,Resource type,Notes,Title,URL
"Wilkinson, M., Dumontier, M., Aalbersberg, I. et al. The FAIR Guiding
Principles for scientific data management and stewardship. Sci Data 3, 160018 (2016). https://doi.org/10.1038/sdata.2016.18.",General,FAIRness,report or publication,,"Wilkinson, M., Dumontier, M., Aalbersberg, I. et al. The FAIR Guiding
Principles for scientific data management and stewardship. Sci Data 3, 160018 (2016). https://doi.org/10.1038/sdata.2016.18.",https://www.nature.com/articles/sdata201618
"Automating
assessment of the FAIR Principles for Research Software
(FAIR4RS)",General,FAIRness,report or publication,,"Automating
assessment of the FAIR Principles for Research Software
(FAIR4RS)",https://zenodo.org/records/11096498
"A Beginner’s Guide to
Conducting Reproducible Research, Jesse M. Alston, Jessica A. Rick, Bulletin of
The Ecological Society of America 102 (2) (2021), https://doi.org/10.1002/bes2.1801",General,"FAIRness, Flexibility, Maintainability, Reliability, Sustainability",report or publication,,"A Beginner’s Guide to
Conducting Reproducible Research, Jesse M. Alston, Jessica A. Rick, Bulletin of
The Ecological Society of America 102 (2) (2021), https://doi.org/10.1002/bes2.1801",https://esajournals.onlinelibrary.wiley.com/doi/10.1002/bes2.1801
"Practical Gudie to Software
Management Plans",General,"FAIRness, Maintainability, Reliability, Sustainability, Compatibility, Functional suitability, Interaction capability",report or publication,,"Practical Gudie to Software
Management Plans",https://zenodo.org/records/7248877
"Barker, M., Chue Hong, N.P., Katz, D.S. et al. Introducing
the FAIR Principles for research software. Sci Data 9, 622 (2022). https://doi.org/10.1038/s41597-022-01710-x",General,FAIRness,report or publication,,"Barker, M., Chue Hong, N.P., Katz, D.S. et al. Introducing
the FAIR Principles for research software. Sci Data 9, 622 (2022). https://doi.org/10.1038/s41597-022-01710-x",https://www.nature.com/articles/s41597-022-01710-x
FAIR Principles for Research Software by RD Alliance,General,FAIRness,report or publication,,FAIR Principles for Research Software by RD Alliance,https://www.rd-alliance.org/group/fair-research-software-fair4rs-wg/outcomes/fair-principles-research-software-fair4rs
Metrics for Automated FAIR Software Assessment in a disciplinary context,General,FAIRness,report or publication,,Metrics for Automated FAIR Software Assessment in a disciplinary context,https://pure.knaw.nl/portal/en/publications/d52-metrics-for-automated-fair-software-assessment-in-a-disciplin
"Ensure Software Quality, EOSC Task Force for Code Quality
Infrastructure",General,"FAIRness, Maintainability, Reliability, Sustainability, Compatibility, Functional suitability, Interaction capability",report or publication,,"Ensure Software Quality, EOSC Task Force for Code Quality
Infrastructure",https://zenodo.org/records/10723608