Resource,Scientific cluster or domain,Topic,Software quality dimensions,Resource type,Notes,Title,URLfetcher,URL,Description,Keywords,Resource type(s),Scientific Topics,Licence,Status,DOI,Version,Authors,Contributors,Target audiences,Prerequisites,Competency level,Learning objectives,Date created,Date modified,Date published,Nodes,External resources
Intermediate Research Software Development (Python),General,,"Flexibility, Maintainability, Sustainability, FAIRness, Reliability","individual training resource (course, handbook, article, guide, tutorial)","DG: Pages where RSQKit should be linked: reproducible_software_environments, using_version_control, testing_software, ci_cd, task_automation_github_actions, releasing_software",Intermediate Research Software Development (Python),https://carpentries-incubator.github.io/python-intermediate-development/,https://carpentries-incubator.github.io/python-intermediate-development/,"A core set of established, intermediate-level software development skills and best practices for working as part of a team in a research environment using Python as an example programming language.","programming language, python, intermediate, software engineering, testing, debugging, version control, continuous integration, packaging code, releasing code, integrated development environment, IDE, virtual environment, git, github, good practices, action, CI/CD, automation, reproducible environment",course,research software development,CC-BY 4.0,Published,https://doi.org/10.5281/zenodo.6532056,beta-Nov2024,"Aleksandra Nenadic, Steve Crouch, Thomas Kile, Raniere Silv, François Michonnea, Maxim Belkin, James Graham, Greg Wilson, Matthew, Toby Hodges, Zhian N. Kamvar, Sven van der Burg, Abby Cabunoc Mayes, JacalynLair, Sarah Stevens, Katrin Leinweber, Erin Becker, João Rodrigues, Douglas Lowe, Sam Mangham, Rayna M Harris, Matthew Blutea, Renato Alv, Sander van Rijn, Rémi Emon, David Mawdsley, Piotr Banaszkiewi, Jemma Stachelek, Giulia Crocion, William L. Close","anenadic, steve-crouch, thomaskileyukaea, bielsnohr, jag1g13, tobyhodges, svenvanderburg, JacalynLaird, sstevens2, douglowe, smangham, knarrff, sjvrijn, gcroci2, hsaunders1904, tomneep, unode, danielskatz, amangoel185, wk9874, jreeve-nv, gkmurphy, sverchkov, shartleybham-acuk, gadgil48, olexandr-konovalov, martinjrobins, kzscisoft, k-collie, guyer",research software engineers,"Git, Python, Shell",beginner,"Document and structure your software, collaborate to develop, prepare software for others to use.",2020-04-22T14:47:31Z,2025-07-20T17:42:28Z,,UK's Software Sustainability Institute,
Alan Turing Institute - Research Software Engineering with Python,General,,"Functional suitability, Interaction capability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Alan Turing Institute - Research Software Engineering with Python,https://alan-turing-institute.github.io/rse-course/html/index.html,https://alan-turing-institute.github.io/rse-course/html/index.html,"In this course, you will move beyond programming, to learn how to construct reliable, readable, efficient research software in a collaborative environment. The emphasis is on practical techniques, tips, and technologies to effectively build and maintain complex code. This is a relatively short course (8-10 half-day modules) which is intensive and involves hands-on exercises.","research software engineering, programming language, python, collaborative environment",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"“Good
Enough Practices in Scientific Computing” course",General,,"FAIRness, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,"“Good
Enough Practices in Scientific Computing” course",https://carpentries-lab.github.io/good-enough-practices/index.html,https://carpentries-lab.github.io/good-enough-practices/index.html,"This lesson is targeted at a broad audience of researchers who want to learn how to be more efficient and effective in their data analysis and computing, whatever their career stage. ","readable code, data analysis, computing, research, data management, collaboration, project organization, manuscripts",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Five recommendations for FAIR software, by the Netherlands eScience Center and DANS",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"Five recommendations for FAIR software, by the Netherlands eScience Center and DANS",https://fair-software.eu/,https://fair-software.eu/,"Five recommendations for FAIR software, by the Netherlands eScience Center and DANS","fair, version control, license, registry, repository, citation, checklist",course,research software development,,Published,,,,,research software engineers,,,,,,,,
A self-assessment checklist for FAIR research software,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,A self-assessment checklist for FAIR research software,https://fairsoftwarechecklist.net/,https://fairsoftwarechecklist.net/,A self-assessment checklist for FAIR research software,"fair, self-assessment, checklist, research software",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Open source definition, by the Open Source
Initiative",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"Open source definition, by the Open Source
Initiative",https://opensource.org/osd/,https://opensource.org/osd/,A ten-point description of Open Source by the open source initiative®.,"open source, code, license, software",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"CodeRefinery:
Reproducible research - preparing code to be usable by you and others in
the future",General,,"FAIRness, Functional suitability, Compatibility","individual training resource (course, handbook, article, guide, tutorial)",,"CodeRefinery:
Reproducible research - preparing code to be usable by you and others in
the future",https://coderefinery.github.io/reproducible-research/,https://coderefinery.github.io/reproducible-research/,"In this lesson we will explore different methods and tools for better reproducibility in research software and data. We will demonstrate how version control, workflows, containers, and package managers can be used to record reproducible environments and computational steps for our future selves and others.","readable code, organise software project, reproducible environment",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Top 10 FAIR Data & Software Things,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,Top 10 FAIR Data & Software Things,https://librarycarpentry.org/Top-10-FAIR/,https://librarycarpentry.org/Top-10-FAIR/,Brief guides for different disciplines that can be used by the research community to understand how they can make their research (data and software) more FAIR,"fair, data, research software engineers",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"The FAIR Cookbook, online recipes for life scientists that help make and keep data FAIR",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"The FAIR Cookbook, online recipes for life scientists that help make and keep data FAIR",https://faircookbook.elixir-europe.org/content/home.html,https://faircookbook.elixir-europe.org/content/home.html,"An online, open and live resource for the Life Sciences with recipes that help you to make and keep data Findable, Accessible, Interoperable and Reusable; in one word FAIR. ","fair, life sciences, infrastructure, assessment",course,research software development,,Published,,,,,research software engineers,,,,,,,,
10 easy things to make your research software FAIR,General,,"FAIRness, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,10 easy things to make your research software FAIR,https://librarycarpentry.org/Top-10-FAIR/files/poster_10things_FAIRsoftware.pdf,https://librarycarpentry.org/Top-10-FAIR/files/poster_10things_FAIRsoftware.pdf,Ten easy things to make your software FAIR.,"fair, software",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Cookiecutter software project template to kickstart a modern best-practice
Python project with FAIR metadata",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"Cookiecutter software project template to kickstart a modern best-practice
Python project with FAIR metadata",https://github.com/Materials-Data-Science-and-Informatics/fair-python-cookiecutter,https://github.com/Materials-Data-Science-and-Informatics/fair-python-cookiecutter,An opinionated cookiecutter template to kickstart a modern best-practice Python project with FAIR metadata. ,"fair, metadata, python, programming language, codemeta, cff, reuse, citation",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Course: ResOps - Cloud-native Tools and Technology for Researchers,General,,"Compatibility, Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Course: ResOps - Cloud-native Tools and Technology for Researchers,https://tsi-ccdoc.readthedocs.io/en/master/ResOps/2020/Agenda-2020.html#introduction,https://tsi-ccdoc.readthedocs.io/en/master/ResOps/2020/Agenda-2020.html#introduction,"This course provides some background to cloud computing and practical experience in building, deploying and running applications in cloud platforms - OpenStack, Google, Amazon and Azure.","reproducible environments, cloud, docker, kubernetes, version control, gitlab",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Introduction to the Command Line for Metagenomics,Life sciences,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to the Command Line for Metagenomics,https://carpentries-lab.github.io/metagenomics-shell/,https://carpentries-lab.github.io/metagenomics-shell/,This workshop will answer these questions (and more): What is a command shell and why would I use one? How can I perform operations on files outside of my working directory? What are some navigational shortcuts I can use to make my work more efficient? How can I control who has permission to modify a file? How can I repeat recently used commands? How can I search within files? How can I combine existing commands to do new things? How can we automate a commonly used set of commands? How can we transfer files between local and remote computers?,"cli, command line, metagenomics, shell, scripts, data, project organization",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Introduction to R,General,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to R,https://carpentries-lab.github.io/metagenomics-R/,https://carpentries-lab.github.io/metagenomics-R/,"This workshop will answer these questions: What is R, and why is important to learn to use it? What types of data does the R language has? What types of data does the R language have? What are they, and how to manage them? How can I create useful graphs in R? How can I ask R for help?","programming language, R, metagenomics",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Tutorial: Workflows - Combining Tools for Data Analysis,Life sciences,,"FAIRness, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Tutorial: Workflows - Combining Tools for Data Analysis,https://www.ebi.ac.uk/training/online/courses/workflows-combining-tools-for-data-analysis/,https://www.ebi.ac.uk/training/online/courses/workflows-combining-tools-for-data-analysis/,"This tutorial provides a short introduction to workflows for the analysis of life sciences data, providing examples of platforms for creating workflows and the considerations required for developing them. This tutorial is for anyone who would like to learn about the role of workflows in the analysis of life sciences data.

","computational workflows, data analysis",course,research software development,,Published,,,,,research software engineers,,,,,,,,
ENSEMBL REST API course,Life sciences,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,ENSEMBL REST API course,https://www.ebi.ac.uk/training/online/courses/ensembl-rest-api/,https://www.ebi.ac.uk/training/online/courses/ensembl-rest-api/,"This course uses Jupyter Notebooks hosted by Google Colab to walk you through the APIs and practise writing scripts to access these data. A video provides a brief overview of the REST API, endpoints and instructions on working with the Jupyter notebooks. This is an intermediate to advanced level course and requires some familiarity with Ensembl, REST APIs and the ability to program in Python or R. We won’t teach you how to code in this course, just how to use your existing coding knowledge to access Ensembl data. If you would like an introduction to Ensembl then we recommend watching our Ensembl Browser Webinar Series.

","ensembl, rest api, python, R",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"""Ten Reproducible Research Things"" Tutorial",General,,"FAIRness, Flexibility, Maintainability, Reliability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,"""Ten Reproducible Research Things"" Tutorial",https://guereslib.github.io/ten-reproducible-research-things/,https://guereslib.github.io/ten-reproducible-research-things/,"This self-paced tutorial outlines ten steps to make your research reproducible, beginning with data quality, documentation, management of sensitive data, through to the publication of datasets. The aim is to move towards reproducible research regardless of your current skills, and includes useful resources for beginners, intermediate and advanced learners.","version control, documentation, data quality, backup, security, documentation, conventions, structure, automation, version control, persistent identifiers",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"The Turing Way: A handbook for reproducible, ethical and collaborative research",General,,"FAIRness, Flexibility, Maintainability, Reliability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,"The Turing Way: A handbook for reproducible, ethical and collaborative research",https://the-turing-way.netlify.app/index.html,https://the-turing-way.netlify.app/index.html,"This guide covers topics related to skills, tools and best practices for research reproducibility.","version control, git, licensing, reproducible environments, documentation, quality, testing, continuous integration, static code analysis",course,research software development,,Published,,,,,research software engineers,,,,,,,,
“How Git Works” course on Pluralsight,General,,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,“How Git Works” course on Pluralsight,https://www.pluralsight.com/courses/how-git-works,https://www.pluralsight.com/courses/how-git-works,"This course is for developers and system administrators who want to really understand Git. Whether you just started using Git, or you've been using it every day for months - this course will give you the knowledge you need to become a Git master.","version, control, git, github",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Introduction to User Experience Design,General,,Interaction capability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to User Experience Design,https://www.ebi.ac.uk/training/online/courses/user-experience-design/,https://www.ebi.ac.uk/training/online/courses/user-experience-design/,"This course introduces user experience design (UXD) in the context of bioinformatics tools and service development. It provides an overview of basic concepts and links to external resources on UXD where you can learn more. This course is for anyone who would like to learn about user experience design; particularly biocurators, developers, bioinformaticians and researchers who are involved in biocuration and the process of creating bioinformatics tools and resources that use biological data will find this training useful.","user experience design, uxd, bioinformatics, user experience, ux, biocuration, biological data",course,research software development,,Published,,,,,research software engineers,,,,,,,,
GPU Programming,General,,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,GPU Programming,https://carpentries-incubator.github.io/lesson-gpu-programming/introduction.html,https://carpentries-incubator.github.io/lesson-gpu-programming/introduction.html,The objectives of this course is to understand the differences between CPU and GPU and see the possible performance benefits of GPU acceleration,"gpu programming, gpu, cpu, cupy, python, numba, memory",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Parallel Programming in Python,General,,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,Parallel Programming in Python,https://carpentries-incubator.github.io/lesson-parallel-python/,https://carpentries-incubator.github.io/lesson-parallel-python/,"The objectives of this course is to recognize serial and parallel patterns, identify problems that can be parallelized, understand a dependency diagram.","parallel programming, python, serial, dependency diagram",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"GPU Programming: When, Why and How?",General,,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,"GPU Programming: When, Why and How?",https://enccs.github.io/gpu-programming/,https://enccs.github.io/gpu-programming/,"This material is meant to help both software developers and decision makers navigate the GPU programming landscape and make more informed decisions on which languages or frameworks to learn and use for their projects. Specifically, you will: understand why and when to use GPUs; become comfortable with key concepts in GPU programming; acquire a comprehensive overview of different software frameworks, what levels they operate at, and which to use when; learn the fundamentals in at least one framework to a level which will enable you to quickly become a productive GPU programmer.","gpu programming, gpu, hpc",course,research software development,,Published,,,,,research software engineers,,,,,,,,
CUDA training,General,,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,CUDA training,https://enccs.github.io/cuda/,https://enccs.github.io/cuda/,"This course is for students, researchers, engineers and programmers who would like to learn GPU programming with CUDA. Some previous experience with C/C++ is required, no prior knowledge of CUDA is needed.
","gpu programming, gpu, cuda, c, c++, vectors",course,research software development,,Published,,,,,research software engineers,,,,,,,,
OpenACC training,General,,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,OpenACC training,https://enccs.github.io/openacc/,https://enccs.github.io/openacc/,"This lesson is an introduction to GPU programming using the directive-based OpenACC paradigm. The course consists of lectures, type-along and hands-on exercises. Topics covered include the architecture of the GPU accelerators, basic usage of OpenACC, and how to control data movement between CPUs and GPUs. Basic optimization of the code will also be covered. After the course the participants should have the basic skills needed for utilising OpenACC with new or existing programs. The participants are assumed to have knowledge of Fortran and/or C programming languages. Since participants will be using HPC clusters to run the examples, fluent operation in a Linux/Unix environment is assumed.
","gpu programming, gpu, open acc, c, c++, fortran, supercomputers, bash, makefile",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Introduction to Julia,General,,"Interaction capability, Performance efficiency, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Introduction to Julia,https://enccs.github.io/julia-intro/,https://enccs.github.io/julia-intro/,"This lesson covers the basics of Julia: its syntax, multiple-dispatch paradigm, package development and best practices. This lesson is appropriate for researchers, engineers and analysts from academia, industry or the public sector who want to adopt a new programming language into their repertoire. It also represents the prerequisite knowledge to follow other ENCCS lessons on Julia - Julia for High Performance Scientific Computing and Julia for High Performance Data Analysis.","programming language, julia, computing, hpc",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Julia for high-performance scientific computing,General,,"Interaction capability, Performance efficiency, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Julia for high-performance scientific computing,https://enccs.github.io/julia-for-hpc/,https://enccs.github.io/julia-for-hpc/,"This lesson goes through various approaches for writing performant and parallel code, including how to write fast serial code, how to write multithreaded and distributed code, how to run Julia on an HPC system, and how to port Julia code to GPUs.","programming language, julia, hpc, gpu computing",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Julia for high-performance data analytics,General,,"Interaction capability, Performance efficiency, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Julia for high-performance data analytics,https://enccs.github.io/julia-for-hpda/,https://enccs.github.io/julia-for-hpda/,"This lesson starts with a discussion of working with data in Julia, how to use the DataFrames.jl package and how to visualise data. It then moves on to linear algebra approaches, followed by classical machine learning approaches as well as deep learning methods with an example of scientific ML. Finally, key aspects of regression, time series prediction and analysis is covered.","programming language, julia, hpc, gpu",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Programming with Julia,General,,"Interaction capability, Performance efficiency, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Programming with Julia,https://carpentries-incubator.github.io/julia-novice/,https://carpentries-incubator.github.io/julia-novice/,This lesson will explain the difference between interpreted and compiled programming languages and compare how composing works in Julia and some common programming languages.,"programming language, julia, packaging, module",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Automation and Make,General,,"Compatibility, Flexibility, Sustainability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Automation and Make,https://swcarpentry.github.io/make-novice/02-makefiles.html,https://swcarpentry.github.io/make-novice/02-makefiles.html,"The objectives of this lesson are to: Recognize the key parts of a Makefile, rules, targets, dependencies and actions; write a simple Makefile; run Make from the shell; explain when and why to mark targets as .PHONY.; explain constraints on dependencies.","makefile, shell, compile",course,research software development,,Published,,,,,research software engineers,,,,,,,,
CMake hands-on workshop,General,,"Flexibility, Compatibility, Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,CMake hands-on workshop,https://enccs.github.io/cmake-workshop/,https://enccs.github.io/cmake-workshop/,"This course is for students, researchers, engineers, and programmers that have heard of CMake and want to learn how to use it effectively with projects they are working on. This course assumes no previous experience with CMake. You will have to be familiar with the tools commonly used to build software in your compiled language of choice: C++, C, Fortran.","programming language, cmake, c, c++, testing",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Software Carpentry: Git Novice lesson,General,,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Software Carpentry: Git Novice lesson,https://swcarpentry.github.io/git-novice,https://swcarpentry.github.io/git-novice,"Version control is the lab notebook of the digital world: it’s what professionals use to keep track of what they’ve done and to collaborate with other people. Every large software development project relies on it, and most programmers use it for their small jobs as well. And it isn’t just for software: books, papers, small data sets, and anything that changes over time or needs to be shared can and should be stored in a version control system.","version, control, git, github, licensing",course,research software development,,Published,,,,,research software engineers,,,,,,,,
CodeRefinery: Collaborative distributed version control,General,,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,CodeRefinery: Collaborative distributed version control,https://coderefinery.github.io/git-collaborative/,https://coderefinery.github.io/git-collaborative/,We have learned how to work with a Git repository used by a single person. What about sharing and collaborating?,"version, control, git, github",course,research software development,,Published,,,,,research software engineers,,,,,,,,
CodeRefinery: Introduction to version control,General,,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,CodeRefinery: Introduction to version control,https://coderefinery.github.io/git-intro/,https://coderefinery.github.io/git-intro/,Introduction to version control with Git - Why we want to track versions and how to go back in time to a working version,"version, control, git, github",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Continuous Integration / Continuous Development (CI/CD),General,,"Maintainability, Security, Sustainability, Reliability, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Continuous Integration / Continuous Development (CI/CD),https://hsf-training.github.io/hsf-training-cicd/,https://hsf-training.github.io/hsf-training-cicd/,"GitLab is a git platform used for code hosting and collaboration. It can be used to automatically run checks and other code or workflows on GitLab’s servers. We’ll learn how to use this to make our code robust to errors, preserved, and reproducible.","gitlab, collaboration, workflow, reproducibility, CI/CD",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Python Testing and Continuous Integration,General,,"Maintainability, Security, Sustainability, Reliability, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Python Testing and Continuous Integration,https://carpentries-incubator.github.io/python-testing/,https://carpentries-incubator.github.io/python-testing/,"In this lesson we use a Python library called pytest. Basic understanding of Python variables and functions are a necessary prerequisite. Some previous experience with the shell is expected, but isn’t mandatory.","python, pytest, testing, automation, continuous integration, CI/CD",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Workflows with Python and Git,General,,"Maintainability, Security, Sustainability, Reliability, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Workflows with Python and Git,https://carpentries-incubator.github.io/swc-ext-python/,https://carpentries-incubator.github.io/swc-ext-python/,"In this lesson, we will apply use of functions, conditionals and loops to solve a problem.","programming language, python, version control",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Introduction to Cloud Computing for Genomics,Life sciences,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to Cloud Computing for Genomics,https://datacarpentry.org/cloud-genomics/index.html,https://datacarpentry.org/cloud-genomics/index.html,"In this lesson, you’ll learn about renting cloud services that fit your analytic needs, and how to interact with one of those services (AWS) via the command line.
","cloud, genomics, aws, cli, data",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Software Carpentry: Introduction
to Workflows with Common Workflow Language",General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: Introduction
to Workflows with Common Workflow Language",https://carpentries-incubator.github.io/cwl-novice-tutorial/,https://carpentries-incubator.github.io/cwl-novice-tutorial/,"This tutorial guides you through the the fundamentals of designing and building an analysis workflow. It assumes no previous knowledge or experience of workflows or Common Workflow Language (CWL), but does assume some experience with the Unix command line.","workflows, common workflow language, cwl, unix, cli",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Software Carpentry: Programming with Python,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Software Carpentry: Programming with Python,https://swcarpentry.github.io/python-novice-inflammation/index.html,https://swcarpentry.github.io/python-novice-inflammation/index.html,"The best way to learn how to program is to do something useful, so this introduction to Python is built around a common scientific task: data analysis.","programming language, python",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Software Carpentry: Plotting and
Programming in Python",General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: Plotting and
Programming in Python",https://swcarpentry.github.io/python-novice-gapminder/index.html,https://swcarpentry.github.io/python-novice-gapminder/index.html,"The lesson will teach you how to Launch the JupyterLab server; create a new Python script; create a Jupyter notebook, shutdown the JupyterLab server; understand the difference between a Python script and a Jupyter notebook; create Markdown cells in a notebook; create and run Python cells in a notebook.","programming language, python, jupyterlab, python script",course,research software development,,Published,,,,,research software engineers,,,,,,,,
