Resource,Scientific cluster or domain,Topic,Software quality dimensions,Resource type,Notes,Title,URLfetcher,URL,Description,Keywords,Resource type(s),Scientific Topics,Licence,Status,DOI,Version,Authors,Contributors,Target audiences,Prerequisites,Competency level,Learning objectives,Date created,Date modified,Date published,Nodes,External resources
Level Up your Python,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Level Up your Python,https://henryiii.github.io/level-up-your-python/notebooks/0%20Intro.html,https://henryiii.github.io/level-up-your-python/notebooks/0%20Intro.html,A course in intermediate Python for a beginner ready to move up. Binder version and Live WebAssembly version available too!,"programming language, python",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Library Carpentry: Python Intro for Libraries,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Library Carpentry: Python Intro for Libraries,https://librarycarpentry.org/lc-python-intro/,https://librarycarpentry.org/lc-python-intro/,"This lesson is an introduction to programming in Python for library and information workers with little or no previous programming experience. It uses examples that are relevant to a range of library use cases, and is designed as a prerequisite for other Python lessons that will be developed in the future (e.g., web scraping, APIs). The lesson uses the JupyterLab computing environment and Python 3.","programming language, python",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Building Better Scientific Software in Python,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Building Better Scientific Software in Python,https://python-tutorial.dev/201/,https://python-tutorial.dev/201/,"The goal of this tutorial is to expose researchers to several best practices in scientific software engineering that may otherwise take several years to become acquainted with. Though the implementation of these lessons is Python-specific, the essential ideas can be exported to other languages or platforms.","programming language, python, packaging, testing, documentation, logging, performance",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Software Carpentry: R for
Reproducible Scientific Analysis",General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: R for
Reproducible Scientific Analysis",https://swcarpentry.github.io/r-novice-gapminder/,https://swcarpentry.github.io/r-novice-gapminder/,The goal of this lesson is to teach novice programmers to write modular code and best practices for using R for data analysis,"programming language, R, reproducibility",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Software Carpentry: Programming with R,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Software Carpentry: Programming with R,https://swcarpentry.github.io/r-novice-inflammation/,https://swcarpentry.github.io/r-novice-inflammation/,"The best way to learn how to program is to do something useful, so this introduction to R is built around a common scientific task: data analysis. Our real goal isn’t to teach you R, but to teach you the basic concepts that all programming depends on","programming language, R",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Getting Used to R, RStudio, and R Markdown",General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,"Getting Used to R, RStudio, and R Markdown",https://rbasics.netlify.app/,https://rbasics.netlify.app/,"This material  was written to give people who are new to R, RStudio, and R Markdown the tools they need to begin making their own research reproducible","programming language, R",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Modern Dive into R and the Tidyverse,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Modern Dive into R and the Tidyverse,https://moderndive.netlify.app/,https://moderndive.netlify.app/,This online handbook aims at providing statistical inference via data science using R and Tidyverse,"programming language, R",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Software Carpentry: Programming
with MATLAB",General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: Programming
with MATLAB",https://swcarpentry.github.io/matlab-novice-inflammation/,https://swcarpentry.github.io/matlab-novice-inflammation/,"The best way to learn how to program is to do something useful, so this introduction to MATLAB is built around a common scientific task: data analysis. Our real goal isn’t to teach you MATLAB, but to teach you the basic concepts that all programming depends on. ","programming language, MATLAB",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Introduction to the Internet of Things,General,,,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to the Internet of Things,https://carpentries-incubator.github.io/IoT_arduino_nano/,https://carpentries-incubator.github.io/IoT_arduino_nano/,"In this lesson, your will learn: About IoT ; Arduino Nano architecture and Arduino GUI; Learn to blink the internal led of an Arduino Nano; Learn to create a simple weather station with an Arduino Nano
","internet of things, arduino, arduino nano",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Automated Testing - Preventing Yourself and others from Breaking your Functioning Code,General,,"Functional suitability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Automated Testing - Preventing Yourself and others from Breaking your Functioning Code,https://coderefinery.github.io/testing/,https://coderefinery.github.io/testing/,"This lesson will talk about the places it’s useful for research code, and how easy it can be. We will discuss why testing often needs to be part of the software development cycle and how such a cycle can be implemented. We will see how automated testing works and practice designing and writing tests.","testing, continuous integration, automation, python",course,research software development,,Published,,,,,research software engineers,,,,,,,,
How to Document your Research Software,General,,Sustainability,"individual training resource (course, handbook, article, guide, tutorial)",,How to Document your Research Software,https://coderefinery.github.io/documentation/,https://coderefinery.github.io/documentation/,This lesson discusses different solutions for implementing and deploying code documentation.,"documentation, readme, readthedocs, github pages",course,research software development,,Published,,,,,research software engineers,,,,,,,,
CodeRefinery: Software Citation,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,CodeRefinery: Software Citation,https://coderefinery.github.io/social-coding/software-citation/,https://coderefinery.github.io/social-coding/software-citation/,This resource will help you untangle these questions: Is putting software on GitHub/GitLab/… publishing? Where to publish software? How can software be cited? How can I make my software citeable?,"citation, publishing, releasing, fair",course,research software development,,Published,,,,,research software engineers,,,,,,,,
CodeRefinery: Software Licensing,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,CodeRefinery: Software Licensing,https://coderefinery.github.io/social-coding/software-licensing/,https://coderefinery.github.io/social-coding/software-licensing/,A course on software licensing,license,course,research software development,,Published,,,,,research software engineers,,,,,,,,
SQL for Humanities,Social sciences and humanities,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,SQL for Humanities,https://carpentries-incubator.github.io/sql-humanities-lesson/,https://carpentries-incubator.github.io/sql-humanities-lesson/,"This lesson will teach you what relational databases are, how you can load data into them and how you can query databases to extract just the information that you need.","database, SQL, data",course,research software development,,Published,,,,,research software engineers,,,,,,,,
SQL for Business,Social sciences and humanities,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,SQL for Business,https://carpentries-incubator.github.io/sql-business/,https://carpentries-incubator.github.io/sql-business/,"This lesson will teach you what relational databases are, how you can load data into them and how you can query databases to extract just the information that you need.","sql, business, database, quality control",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Software Carpentry: Database and
SQL",General,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: Database and
SQL",https://swcarpentry.github.io/sql-novice-survey/,https://swcarpentry.github.io/sql-novice-survey/,These lessons will show how to use a database to explore the expeditions’ data.,"database, sql, data, python, R",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"CodeRefinery: Jupyter Notebooks - A tool to write
and share executable notebooks and data visualization",General,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,"CodeRefinery: Jupyter Notebooks - A tool to write
and share executable notebooks and data visualization",https://coderefinery.github.io/jupyter/,https://coderefinery.github.io/jupyter/,"The goal of this lesson is to teach learners the user interface of JupyterLab, how Jupyter notebooks work, and what some common and powerful use cases are.","jupyter notebook, notebooks, data visualization, jupyterlab",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Python Packaging,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,Python Packaging,https://carpentries-incubator.github.io/python_packaging/,https://carpentries-incubator.github.io/python_packaging/,This lesson teaches how to create and publish packages in Python,"package, packaging, release, python",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Managing Academic Software Development,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,Managing Academic Software Development,https://southampton-rsg.github.io/swc-project-novice/,https://southampton-rsg.github.io/swc-project-novice/,"This workshop teaches the basics of managing project development and release, using the project management tools on the repository hosting site GitHub (and is applicable to repositories hosted on GitLab).","release, git, github, gitlab, identifiers, version",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Software Carpentry: Managing
Research Software Projects",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: Managing
Research Software Projects",https://swcarpentry.github.io/managing-research-software-projects/,https://swcarpentry.github.io/managing-research-software-projects/,"Introduction to the basics of software project management with a particular focus on the sorts of projects commonly found in research settings. Participants should have previously worked on programs containing thousands or tens of thousands of lines of code, and be regular users of basic tools like the Unix shell and a version control system. Building on that foundation, this course will discuss:","license, version control, continous integration, robust, code review, testing",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Reproducible
Computational Environments using Containers: Introduction to Singularity","General, Particle physics & astronomy",,"FAIRness, Flexibility, Maintainability, Reliability, Security, Sustainability","curriculum (set of several training courses, a learning pathway) ",,"Reproducible
Computational Environments using Containers: Introduction to Singularity",https://carpentries-incubator.github.io/singularity-introduction/,https://carpentries-incubator.github.io/singularity-introduction/,"This lesson provides an introduction to using the Singularity container platform. Singularity is particularly suited to running containers on infrastructure where users don’t have administrative privileges, for example shared infrastructure such as High Performance Computing (HPC) clusters.","container, reproducible environment, reproducibility, singularity, HPC",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Reproducible
Computational Environments Using Containers: Introduction to Docker","General, Particle physics & astronomy",,"FAIRness, Flexibility, Sustainability, Security, Reliability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,"Reproducible
Computational Environments Using Containers: Introduction to Docker",https://carpentries-incubator.github.io/docker-introduction/,https://carpentries-incubator.github.io/docker-introduction/,"This material aims to introduce the use of Docker containers with the goal of using them to effect reproducible computational environments. Such environments are useful for ensuring reproducible research outputs, for example.","docker, container, reproducible environment, reproducibility, singularity",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Introduction
to Docker and Podman","General, Particle physics & astronomy",,"Sustainability, Security, Reliability, Maintainability, FAIRness, Flexibility","individual training resource (course, handbook, article, guide, tutorial)",,"Introduction
to Docker and Podman",https://hsf-training.github.io/hsf-training-docker/index.html,https://hsf-training.github.io/hsf-training-docker/index.html,An introduction to using Docker and Podman as software development tools.,This material is an introduction to machin learning with Python. Topics are: Unsupervised Learning: dimensionality reductiong; unsupervised Learning: clustering; supervised Learning: basic methods; supervised Learning: using real data and preprocessing,course,research software development,,Published,,,,,research software engineers,,,,,,,,
Welcome to Python Packages,General,,"Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Welcome to Python Packages,https://py-pkgs.org/welcome,https://py-pkgs.org/welcome,"Python packages are a core element of the Python programming language and are how you create organized, reusable, and shareable code in Python. Python Packages is an open source book that describes modern and efficient workflows for creating Python packages.","programming language, python, packaging, package, release",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Tools and Practices for FAIR Research Software,General,,"Sustainability, FAIRness, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Tools and Practices for FAIR Research Software,https://carpentries-incubator.github.io/fair-research-software/,https://carpentries-incubator.github.io/fair-research-software/,"This short course is teaching tools and practices for producing and sharing quality, sustainable and FAIR (Findable, Accessible, Interoperable and Reusable) research software to support open and reproducible research.","FAIR, documentation, reproducible environment, readable code, documentation",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Modern Scientific C++,"Particle physics & astronomy, General",,"Functional suitability, Performance efficiency, Reliability, Flexibility","individual training resource (course, handbook, article, guide, tutorial)",,Modern Scientific C++,https://github.com/chavid/ModernScientificCpp,https://github.com/chavid/ModernScientificCpp,"This training material addresses modern scientific computing in C++, for people who already have some experience in legacy C++ programming (before C++ 11)","programming language, c++",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Cpp17 Initiation for Pythonists,"Particle physics & astronomy, General",,"Functional suitability, Performance efficiency, Reliability, Flexibility, Compatibility","individual training resource (course, handbook, article, guide, tutorial)",,Cpp17 Initiation for Pythonists,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/cpp17-initiation-for-pythonists,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/cpp17-initiation-for-pythonists,"This training material addresses modern scientific computing in C++, for people who already have some experience in legacy C++ programming (before C++ 11):","programming language, c++, scientific computin",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Python Traps and Pitfalls,"Particle physics & astronomy, General",,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Python Traps and Pitfalls,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/python-traps,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/python-traps,"A closer look at the basic mechanisms of the Python language, beyond what can be guessed by blindly copying and pasting examples, in order to avoid the most common traps and pitfalls","programming language, python",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Introduction to Machine Learning,"Particle physics & astronomy, General",,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to Machine Learning,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/machinelearning,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/machinelearning,This material is an introduction to machin learning with Python. Unsupervised Learnin: dimensionality reductiongUnsupervised Learning: clusteringSupervised Learning: basic methodsSupervised Learning: using real dataPreprocessing,"programming language, Python, unsupervised learning, supervised learning, preprocessing",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Introduction to Deep Learning,"Particle physics & astronomy, General",,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to Deep Learning,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/deeplearning,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/deeplearning,This material is an introduction to deep learning with Python. Two main topics are covered: Multi Layer Perceptron and Convolution Neural Network.,"machine learning, deep learning, Python, multi layer perceptron, convolution neural network",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Make your code more efficient,"Particle physics & astronomy, General",,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,Make your code more efficient,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/make-your-code-more-efficient,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/make-your-code-more-efficient,Material for a two-mornings performance optimization training,"performance, benchmarking, profiling, optimization",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Make your code more robust,"Particle physics & astronomy, General",,"Reliability, Maintainability, Sustainability, Flexibility","individual training resource (course, handbook, article, guide, tutorial)",,Make your code more robust,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/robust-programming,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/robust-programming,Tools and methodologies to write code that is easier to understand and maintain.,"readable code, testing, documentation, continuous integration",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Web Interfaces Development in a Nutshell,"Particle physics & astronomy, General",,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Web Interfaces Development in a Nutshell,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/web-interfaces-development-in-a-nutshell,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/web-interfaces-development-in-a-nutshell,"Welcome to the Web Interfaces Development in a Nutshell course! This course is designed to provide you with a comprehensive introduction to the world of web development. We will cover a wide range of topics, including HTML, CSS, JavaScript, and more. By the end of this course, you will be able to create your own webpage from scratch and understand the basics of web development.","web interfaces, html, css, javascript, Python, Django, RESTful API, blog",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Git Survival Guide,"Particle physics & astronomy, General",,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Git Survival Guide,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/git-survival-guide,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/git-survival-guide,This guide offers a curated collection of exercises aimed at helping you learn and practice Git commands and workflows effectively.,"version control, git, gitlab",course,research software development,,Published,,,,,research software engineers,,,,,,,,
GitLab and GitLab CI/CD,"Particle physics & astronomy, General",,"Sustainability, Security, Reliability, Maintainability, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,GitLab and GitLab CI/CD,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/gitlab-and-gitlab-ci-cd/-/tree/main?ref_type=heads,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/gitlab-and-gitlab-ci-cd/-/tree/main?ref_type=heads,A course designed to provide you with a comprehensive understanding of GitLab and GitLab CI/CD,"task automation, gitlab, CI/CD, continuous integration",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Foundational HPC Skills (DIRAC),General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Performance efficiency, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,Foundational HPC Skills (DIRAC),https://dirac.ac.uk/foundation-hpc-skills-course/,https://dirac.ac.uk/foundation-hpc-skills-course/,"A basic introduction to the principles of HPC and the tools needed to work on an HPC system. The training will help you to develop the skills required to meet your research needs and enable you to utilise DiRAC’s HPC systems effectively. The course focuses on core skills, from basic connection to a system, to laying the foundation for developing robust, high-quality code. We assume familiarity with desktop computers, but no prior programming, Linux or HPC experience is required. ","version control, git, testing, documentation, HPC",course,research software development,,Published,,,,,research software engineers,,,,,,,,
CodeRefinery - training and e-Infrastructure for research software development,General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,CodeRefinery - training and e-Infrastructure for research software development,https://coderefinery.org/,https://coderefinery.org/,"We train you in research software development Are you an academic researcher using computing/data, and your work is held back by struggling with the programming or data management? Or your research isn't reproducible or open enough? CodeRefinery understands and has free online courses and materials for you. We teach all the essential tools which are usually skipped in academic education so everyone can make full use of software, computing, and data with focus on reusability, reproducibility, and openness. We don't just give courses, but we are a training network that you can join to share the effort and bring better courses to your community. Our standard workshop is well known in Nordic academic circles and our engaging online teaching style is considered best-in-class even compared to in-person teaching. CodeRefinery is publicly funded and operates as a community project.","research software development, academic, reproducibility, open, lessons, workshops, tasks",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Software Carpentry,General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,Software Carpentry,https://software-carpentry.org/,https://software-carpentry.org/,Software Carpentry is a lesson program within The Carpentries teaching basic lab skills for research computing.,"lessons, carpentries, lab skills, research computing, research software, unix, git, Python, R, reproducibility, Make, Matlab, SQL",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Data Carpentry,General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,Data Carpentry,https://datacarpentry.org/,https://datacarpentry.org/,"Data Carpentry workshops are domain-specific, so that we are teaching researchers the skills most relevant to their domain and using examples from their type of work. Therefore we have several types of workshops and curriculum is organised by domain.","lessons, carpentries, workshops, research software, curriculum, data, astronomy, ecology, genomics, geospatial, image processing, social science, SQL, R, Python",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Library Carpentry,General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,Library Carpentry,https://librarycarpentry.org/,https://librarycarpentry.org/,"Library Carpentry workshops teach people working in library- and information-related roles how to: Cut through the jargon terms and phrases of software development and data science and apply concepts from these fields in library tasks. Identify and use best practices in data structures. Learn how to programmatically transform and map data from one form to another. Work effectively with researchers, IT, and systems colleagues. Automate repetitive, error prone tasks. Lesson materials are all available online, under a CC BY license, for self-directed study or for adaptation and re-use (as “Carpentries-based” training).","lessons, library, software development, data science, curriculum, Unix, Git, Python, SQL, MarcEdit, GLAM, DMP",course,research software development,,Published,,,,,research software engineers,,,,,,,,
HPC Carpentry,General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability, Performance efficiency","curriculum (set of several training courses, a learning pathway) ",,HPC Carpentry,https://hpc-carpentry.org/,https://hpc-carpentry.org/,"HPC Carpentry teaches HPC-oriented coding, and data science skills to researchers. We want to work towards bringing High Performance Computing under the Carpentries umbrella. Workshop hosts, Instructors, and learners must be prepared to follow our","hpc, data science, research software, workshop, snakemake, maestro, Python",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Intersect Research Software
Engineering Training",General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,"Intersect Research Software
Engineering Training",https://intersect-training.org/curriculum/,https://intersect-training.org/curriculum/,"INTERSECT will bring together RSE instructors from multiple institutions within the U.S. to maximally exploit the capabilities, knowledge, expertise of a growing RSE community. INTERSECT will sponsor a newly-created multi-day bootcamp targeting intermediate and advanced students from U.S. institutions. The project will curate the material used in the INTERSECT workshops and training sessions while working with existing frameworks to provide an open-source platform that will allow for continued engagement with the training material and help coordinate the effort across the RSE-trainer community. In addition, INTERSECT will sponsor annual RSE-trainer workshops, focused on the curation and communal generation of training material. These workshops will connect RSE practitioner-instructors from across the country to not only leverage the knowledge of multiple institutions but also to build and strengthen the community of this group of software professionals.","research software engineer, Python, Git, PR, licensing, testing, CI/CD, ",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"The Missing
Semester of Your CS Education",General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,"The Missing
Semester of Your CS Education",https://missing.csail.mit.edu/,https://missing.csail.mit.edu/,"Classes teach you all about advanced topics within CS, from operating systems to machine learning, but there’s one critical subject that’s rarely covered, and is instead left to students to figure out on their own: proficiency with their tools. We’ll teach you how to master the command-line, use a powerful text editor, use fancy features of version control systems, and much more! Students spend hundreds of hours using these tools over the course of their education (and thousands over their career), so it makes sense to make the experience as fluid and frictionless as possible. Mastering these tools not only enables you to spend less time on figuring out how to bend your tools to your will, but it also lets you solve problems that would previously seem impossibly complex.","shell, vim, data, cli, Git",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Green Software Practitioner,General,,Sustainability,"individual training resource (course, handbook, article, guide, tutorial)",,Green Software Practitioner,https://learn.greensoftware.foundation/,https://learn.greensoftware.foundation/,"Introduction to green software, a carbon-efficient software, meaning it emits the least carbon possible. Only three activities reduce the carbon emissions of software; energy efficiency, carbon awareness, and hardware efficiency. This training will explain all of these concepts, how to apply them to your processes and how to measure them, as well as some of the international guidelines and organizations that guide and monitor this space.","climate science, software design, data center",course,"sustainability, environment",,Published,,,,,research software engineers,,,,,,,,